phi_calc,phi_exp,aw_calc,aw_exp,l_arginine
0.743886,0.746829,0.998008,0.998000,0.002677
0.747015,0.745145,0.996992,0.997000,0.004024
0.748876,0.738392,0.995943,0.996000,0.005413
0.749955,0.765942,0.995104,0.995000,0.006523
0.751367,0.715597,0.993701,0.994000,0.008375
0.752292,0.812990,0.992595,0.992000,0.009831
0.753202,0.698412,0.991375,0.992000,0.011435
0.754004,0.770172,0.990209,0.990000,0.012965
0.754722,0.761825,0.989102,0.989000,0.014414
