phi_calc,phi_exp,aw_calc,aw_exp,maltose
1.000000,1.684159,0.998812,0.998000,0.001188
1.000000,1.242538,0.997585,0.997000,0.002415
1.000000,1.187953,0.994947,0.994000,0.005053
1.000000,1.228892,0.992670,0.991000,0.007330
1.000000,1.218432,0.990141,0.988000,0.009859
1.000000,1.379719,0.987650,0.983000,0.012350
1.000000,1.513162,0.985406,0.978000,0.014594
1.000000,1.598745,0.983025,0.973000,0.016975
1.000000,1.796024,0.980924,0.966000,0.019076
