phi_calc,phi_exp,aw_calc,aw_exp,l_arginine
0.748429,0.746829,0.997996,0.998000,0.002677
0.748935,0.745145,0.996985,0.997000,0.004024
0.749458,0.738392,0.995940,0.996000,0.005413
0.749877,0.765942,0.995105,0.995000,0.006523
0.750578,0.715597,0.993708,0.994000,0.008375
0.751130,0.812990,0.992606,0.992000,0.009831
0.751740,0.698412,0.991392,0.992000,0.011435
0.752324,0.770172,0.990231,0.990000,0.012965
0.752878,0.761825,0.989128,0.989000,0.014414
