phi_calc,phi_exp,glycine
0.935912,0.970500,0.003722
0.935914,0.970500,0.003726
0.937170,0.955600,0.006394
0.937175,0.955500,0.006403
0.938601,0.942800,0.009417
0.938607,0.942800,0.009429
0.941300,0.928200,0.015078
0.941309,0.928200,0.015096
0.942782,0.924000,0.018163
0.942788,0.924000,0.018176
0.945049,0.920200,0.022851
0.945054,0.920200,0.022861
