phi_calc,phi_exp,glycine
0.958341,0.987200,0.003656
0.958335,0.987300,0.003644
0.959495,0.978100,0.006050
0.959503,0.978100,0.006066
0.961189,0.965900,0.009546
0.961186,0.966000,0.009539
0.963036,0.953800,0.013333
0.963025,0.953900,0.013312
0.963927,0.948300,0.015152
0.963933,0.948300,0.015164
0.965558,0.938400,0.018467
0.965564,0.938400,0.018479
