xw	aw	gammaw	phi
0.998997554808726	0.999	1.00000244764490	0.997559552470994
0.997975586037281	0.998	1.00002446348694	0.987928152050282
0.99697361214634	0.997	1.00002646795596	0.991267631210704
0.995987944819311	0.996	1.00001210374157	0.996989230902021
0.994779545105771	0.9947	0.999920037453361	1.01527775539971
0.993664783263919	0.9936	0.999934803703411	1.01025879347862
0.992701622166877	0.9926	0.999897630703317	1.01397577639749
0.991471072163518	0.9914	0.99992831645268	1.00836916184572
0.990397282559307	0.9903	0.999901774206149	1.01018026615941
0.989821544474152	0.9897	0.999877205669213	1.01200337693659
0.988938048182533	0.9888	0.999860407653658	1.01255009290127
0.987871493368865	0.9877	0.999826401136164	1.01422755158599
0.986937072423278	0.9867	0.999759789727327	1.01827052737717
0.985857317344161	0.9856	0.999738991292518	1.0183269665185
0.983896679268292	0.9836	0.999698465017168	1.01857664423088
0.981968143622139	0.9816	0.999625096165766	1.02060703722423
0.980407199285006	0.9799	0.99948266466691	1.02615160289001
0.978580281700563	0.978	0.99940701676560	1.0273945499554
0.976727504636121	0.9761	0.999357543805061	1.02729209386373
0.972514435951538	0.9715	0.998956893682976	1.0374466189977
0.967905301318203	0.9664	0.998444784509235	1.04771235912819
0.958780433566259	0.9561	0.997204330133971	1.06650922534987
0.949614767381248	0.9453	0.995456297090717	1.08808810739177
0.938678914713672	0.932	0.992884771769152	1.11283910929096
0.919692402266049	0.9076	0.986851688416416	1.15810017505212
