phi_calc,phi_exp,glycine
0.930613,0.955400,0.003901
0.930617,0.955400,0.003908
0.931366,0.946000,0.005509
0.931369,0.946000,0.005514
0.933119,0.934100,0.009237
0.933121,0.934000,0.009242
0.934007,0.930200,0.011118
0.934016,0.930200,0.011136
0.936017,0.921900,0.015351
0.936011,0.921900,0.015338
0.938742,0.916600,0.021041
0.938751,0.916600,0.021060
