x,yplus,yminus
1.99,0,0
2.0076,0.0,-0.0
2.0156,0.0,-0.0
2.0236,0.0,-0.0
2.0316,0.0,-0.0
2.0396,0.0,-0.0
2.0476,0.0,-0.0
2.0556,0.0,-0.0
2.0636,0.0,-0.0
2.0716,0.0,-0.0
2.0796,0.0,-0.0
2.0876,0.0,-0.0
2.0956,0.0,-0.0
2.1036,0.0,-0.0
2.1116,0.0,-0.0
2.1196,0.0,-0.0
2.1276,0.0,-0.0
2.1356,0.0,-0.0
2.1436,0.0,-0.0
2.1516,0.0,-0.0
2.1596,0.0,-0.0
2.1676,0.0,-0.0
2.1756,0.0,-0.0
2.1836,0.0,-0.0
2.1916,0.0,-0.0
2.1996,0.0,-0.0
2.2076000000000002,0.0,-0.0
2.2156000000000002,0.0,-0.0
2.2236000000000002,0.0,-0.0
2.2316,0.0,-0.0
2.2396,0.0,-0.0
2.2476,0.0,-0.0
2.2556,0.0,-0.0
2.2636,0.0,-0.0
2.2716,0.0,-0.0
2.2796,0.0,-0.0
2.2876,0.0,-0.0
2.2956,0.0,-0.0
2.3036,0.0,-0.0
2.3116,0.0,-0.0
2.3196,0.0,-0.0
2.3276,0.0,-0.0
2.3356,0.0,-0.0
2.3436,0.0,-0.0
2.3516,0.0,-0.0
2.3596,0.0,-0.0
2.3676,0.0,-0.0
2.3756,4.55e-322,-4.55e-322
2.3836,1.2989e-319,-1.2989e-319
2.3916,3.653769e-317,-3.653769e-317
2.3996,1.005651935e-314,-1.005651935e-314
2.4076,2.70839328127e-312,-2.70839328127e-312
2.4156,7.137288629796e-310,-7.137288629796e-310
2.4236,1.8404002779170958e-307,-1.8404002779170958e-307
2.4316,4.643536020182895e-305,-4.643536020182895e-305
2.4396,1.1464176019940649e-302,-1.1464176019940649e-302
2.4476,2.769455368534594e-300,-2.769455368534594e-300
2.4556,6.546412899331397e-298,-6.546412899331397e-298
2.4636,1.5141535373006888e-295,-1.5141535373006888e-295
2.4716,3.426840849608999e-293,-3.426840849608999e-293
2.4796,7.588840993602937e-291,-7.588840993602937e-291
2.4876,1.644426510377416e-288,-1.644426510377416e-288
2.4956,3.486671116721631e-286,-3.486671116721631e-286
2.5036,7.233775009552591e-284,-7.233775009552591e-284
2.5116,1.4685086462271147e-281,-1.4685086462271147e-281
2.5196,2.9170610416389056e-279,-2.9170610416389056e-279
2.5276,5.669855942536934e-277,-5.669855942536934e-277
2.5356,1.078340782502013e-274,-1.078340782502013e-274
2.5436,2.0067696969987535e-272,-2.0067696969987535e-272
2.5516,3.6542355359130885e-270,-3.6542355359130885e-270
2.5596,6.511080084869199e-268,-6.511080084869199e-268
2.5676,1.1351860245940313e-265,-1.1351860245940313e-265
2.5756,1.936593780718527e-263,-1.936593780718527e-263
2.5836,3.2327158160873997e-261,-3.2327158160873997e-261
2.5916,5.280244361542069e-259,-5.280244361542069e-259
2.5996,8.439136532648723e-257,-8.439136532648723e-257
2.6076,1.3197738017622167e-254,-1.3197738017622167e-254
2.6156,2.0195680494091304e-252,-2.0195680494091304e-252
2.6236,3.023952588672801e-250,-3.023952588672801e-250
2.6316,4.430461453852919e-248,-4.430461453852919e-248
2.6396,6.351560590200485e-246,-6.351560590200485e-246
2.6476,8.909830180046062e-244,-8.909830180046062e-244
2.6556,1.2229702878409611e-241,-1.2229702878409611e-241
2.6636,1.6425548601786803e-239,-1.6425548601786803e-239
2.6716,2.1586456621051137e-237,-2.1586456621051137e-237
2.6795999999999998,2.7758777361570757e-235,-2.7758777361570757e-235
2.6875999999999998,3.4928248326795836e-233,-3.4928248326795836e-233
2.6955999999999998,4.3004190465781014e-231,-4.3004190465781014e-231
2.7036,5.180864638854221e-229,-5.180864638854221e-229
2.7116,6.107327548028535e-227,-6.107327548028535e-227
2.7196,7.044621729808459e-225,-7.044621729808459e-225
2.7276,7.950997953493906e-223,-7.950997953493906e-223
2.7356,8.780982336296505e-221,-8.780982336296505e-221
2.7436,9.489035330300264e-219,-9.489035330300264e-219
2.7516,1.0033640166252336e-216,-1.0033640166252336e-216
2.7596,1.0381317618586355e-214,-1.0381317618586355e-214
2.7676,1.0510029460960336e-212,-1.0510029460960336e-212
2.7756,1.0411490003975015e-210,-1.0411490003975015e-210
2.7836,1.0092048705708815e-208,-1.0092048705708815e-208
2.7916,9.572013167969572e-207,-9.572013167969572e-207
2.7996,8.883512856459391e-205,-8.883512856459391e-205
2.8076,8.067215924090672e-203,-8.067215924090672e-203
2.8156,7.16836524544336e-201,-7.16836524544336e-201
2.8236,6.232669068899026e-199,-6.232669068899026e-199
2.8316,5.302558992971917e-197,-5.302558992971917e-197
2.8396,4.414224815813098e-195,-4.414224815813098e-195
2.8476,3.5956787645265753e-193,-3.5956787645265753e-193
2.8556,2.8659249989098756e-191,-2.8659249989098756e-191
2.8636,2.2351478422699255e-189,-2.2351478422699255e-189
2.8716,1.7057099644461874e-187,-1.7057099644461874e-187
2.8796,1.2736837757860675e-185,-1.2736837757860675e-185
2.8876,9.306267789881848e-184,-9.306267789881848e-184
2.8956,6.653451141258213e-182,-6.653451141258213e-182
2.9036,4.65453067748847e-180,-4.65453067748847e-180
2.9116,3.1861214049584693e-178,-3.1861214049584693e-178
2.9196,2.1340581136704726e-176,-2.1340581136704726e-176
2.9276,1.398645529323265e-174,-1.398645529323265e-174
2.9356,8.969465824344933e-173,-8.969465824344933e-173
2.9436,5.62837461552024e-171,-5.62837461552024e-171
2.9516,3.4558661241895785e-169,-3.4558661241895785e-169
2.9596,2.076291484669854e-167,-2.076291484669854e-167
2.9676,1.2206108716320265e-165,-1.2206108716320265e-165
2.9756,7.021398836556859e-164,-7.021398836556859e-164
2.9836,3.952096591077794e-162,-3.952096591077794e-162
2.9916,2.1766517788430692e-160,-2.1766517788430692e-160
2.9996,1.1730265988040025e-158,-1.1730265988040025e-158
3.0076,6.18563460791516e-157,-6.18563460791516e-157
3.0156,3.191671330967459e-155,-3.191671330967459e-155
3.0236,1.611423011791362e-153,-1.611423011791362e-153
