x,yplus,yminus
1.99,0,0
2.0076,0.050217912239531946,-0.050217912239531946
2.0156,0.05048308332536014,-0.05048308332536014
2.0236,0.05075278562741334,-0.05075278562741334
2.0316,0.05102765233210497,-0.05102765233210497
2.0396,0.051308330143627214,-0.051308330143627214
2.0476,0.05159547860751253,-0.05159547860751253
2.0556,0.051889769409491505,-0.051889769409491505
2.0636,0.05219188565087631,-0.05219188565087631
2.0716,0.05250252110174864,-0.05250252110174864
2.0796,0.05282237943327889,-0.05282237943327889
2.0876,0.05315217343054581,-0.05315217343054581
2.0956,0.05349262418726601,-0.05349262418726601
2.1036,0.05384446028387759,-0.05384446028387759
2.1116,0.05420841695045457,-0.05420841695045457
2.1196,0.05458523521595536,-0.05458523521595536
2.1276,0.05497566104533235,-0.05497566104533235
2.1356,0.05538044446604818,-0.05538044446604818
2.1436,0.05580033868555908,-0.05580033868555908
2.1516,0.05623609920133536,-0.05623609920133536
2.1596,0.05668848290499501,-0.05668848290499501
2.1676,0.05715824718212757,-0.05715824718212757
2.1756,0.057646149009381704,-0.057646149009381704
2.1836,0.05815294405038232,-0.05815294405038232
2.1916,0.05867938575203063,-0.05867938575203063
2.1996,0.059226224442723685,-0.059226224442723685
2.2076000000000002,0.059794206434008935,-0.059794206434008935
2.2156000000000002,0.06038407312716337,-0.06038407312716337
2.2236000000000002,0.06099656012615782,-0.06099656012615782
2.2316,0.061632396358431964,-0.061632396358431964
2.2396,0.06229230320486916,-0.06229230320486916
2.2476,0.06297699364031602,-0.06297699364031602
2.2556,0.06368717138594876,-0.06368717138594876
2.2636,0.06442353007473677,-0.06442353007473677
2.2716,0.06518675243120178,-0.06518675243120178
2.2796,0.06597750946661562,-0.06597750946661562
2.2876,0.06679645969071865,-0.06679645969071865
2.2956,0.06764424834098119,-0.06764424834098119
2.3036,0.06852150663036283,-0.06852150663036283
2.3116,0.06942885101445921,-0.06942885101445921
2.3196,0.07036688247885567,-0.07036688247885567
2.3276,0.07133618584743501,-0.07133618584743501
2.3356,0.07233732911231466,-0.07233732911231466
2.3436,0.07337086278601258,-0.07337086278601258
2.3516,0.07443731927636613,-0.07443731927636613
2.3596,0.07553721228465052,-0.07553721228465052
2.3676,0.07667103622726701,-0.07667103622726701
2.3756,0.07783926568129183,-0.07783926568129183
2.3836,0.07904235485410016,-0.07904235485410016
2.3916,0.08028073707720074,-0.08028073707720074
2.3996,0.08155482432433998,-0.08155482432433998
2.4076,0.08286500675385826,-0.08286500675385826
2.4156,0.08421165227520541,-0.08421165227520541
2.4236,0.08559510613944855,-0.08559510613944855
2.4316,0.08701569055353409,-0.08701569055353409
2.4396,0.08847370431799412,-0.08847370431799412
2.4476,0.08996942248772127,-0.08996942248772127
2.4556,0.09150309605536937,-0.09150309605536937
2.4636,0.09307495165687613,-0.09307495165687613
2.4716,0.09468519129854293,-0.09468519129854293
2.4796,0.09633399210505383,-0.09633399210505383
2.4876,0.09802150608775947,-0.09802150608775947
2.4956,0.09974785993250757,-0.09974785993250757
2.5036,0.10151315480625361,-0.10151315480625361
2.5116,0.10331746618164762,-0.10331746618164762
2.5196,0.10516084367875583,-0.10516084367875583
2.5276,0.10704331092304674,-0.10704331092304674
2.5356,0.10896486541874308,-0.10896486541874308
2.5436,0.11092547843662175,-0.11092547843662175
2.5516,0.11292509491532716,-0.11292509491532716
2.5596,0.11496363337525321,-0.11496363337525321
2.5676,0.11704098584404235,-0.11704098584404235
2.5756,0.11915701779275306,-0.11915701779275306
2.5836,0.12131156808174946,-0.12131156808174946
2.5916,0.12350444891538047,-0.12350444891538047
2.5996,0.12573544580453025,-0.12573544580453025
2.6076,0.1280043175361462,-0.1280043175361462
2.6156,0.130310796148876,-0.130310796148876
2.6236,0.13265458691397947,-0.13265458691397947
2.6316,0.13503536832071875,-0.13503536832071875
2.6396,0.13745279206547475,-0.13745279206547475
2.6476,0.13990648304388456,-0.13990648304388456
2.6556,0.14239603934535003,-0.14239603934535003
2.6636,0.14492103224932473,-0.14492103224932473
2.6716,0.14748100622284985,-0.14748100622284985
2.6795999999999998,0.15007547891887627,-0.15007547891887627
2.6875999999999998,0.15270394117498307,-0.15270394117498307
2.6955999999999998,0.1553658570121741,-0.1553658570121741
2.7036,0.15806066363351826,-0.15806066363351826
2.7116,0.16078777142247613,-0.16078777142247613
2.7196,0.16354656394084302,-0.16354656394084302
2.7276,0.16633639792632557,-0.16633639792632557
2.7356,0.1691566032898583,-0.1691566032898583
2.7436,0.17200648311285827,-0.17200648311285827
2.7516,0.1748853136447086,-0.1748853136447086
2.7596,0.1777923443008556,-0.1777923443008556
2.7676,0.18072679766199978,-0.18072679766199978
2.7756,0.18368786947495386,-0.18368786947495386
2.7836,0.18667472865583787,-0.18667472865583787
2.7916,0.1896865172963724,-0.1896865172963724
2.7996,0.19272235067412766,-0.19272235067412766
2.8076,0.195781317267672,-0.195781317267672
2.8156,0.1988624787776584,-0.1988624787776584
2.8236,0.2019648701549691,-0.2019648701549691
2.8316,0.2050874996371257,-0.2050874996371257
2.8396,0.2082293487942493,-0.2082293487942493
2.8476,0.21138937258593565,-0.21138937258593565
2.8556,0.21456649943047768,-0.21456649943047768
2.8636,0.21775963128793915,-0.21775963128793915
2.8716,0.22096764375864375,-0.22096764375864375
2.8796,0.22418938619870085,-0.22418938619870085
2.8876,0.22742368185424022,-0.22742368185424022
2.8956,0.23066932801607354,-0.23066932801607354
2.9036,0.23392509619653656,-0.23392509619653656
2.9116,0.23718973233029952,-0.23718973233029952
2.9196,0.24046195700095513,-0.24046195700095513
