phi_calc,phi_exp,aw_calc,aw_exp,maltose
1.000000,2.527505,0.998812,0.997000,0.001188
1.000000,1.657548,0.997585,0.996000,0.002415
1.000000,1.470239,0.995234,0.993000,0.004766
1.000000,1.366124,0.992670,0.990000,0.007330
1.000000,1.320635,0.990141,0.987000,0.009859
1.000000,1.461620,0.987650,0.982000,0.012350
1.000000,1.513162,0.985406,0.978000,0.014594
1.000000,1.658807,0.983025,0.972000,0.016975
1.000000,1.849800,0.980924,0.965000,0.019076
