aw,urea,sucrose
0.049071084,0.041220192,0.007689593
0.049093890,0.008379700,0.032731098
0.049093890,0.021858995,0.023765682
0.049093890,0.038279815,0.010763575
0.050547932,0.016744444,0.028077185
0.050547932,0.027232443,0.020832476
0.050547932,0.041245048,0.009301260
0.051571545,0.004150439,0.036686975
0.051571545,0.023954037,0.024024354
0.051571545,0.035197707,0.015514216
0.051787017,0.013260308,0.031288405
0.051787017,0.029918224,0.019826794
0.051787017,0.046548880,0.005498840
