aw,sucrose,glycerol
0.052851597,0.034636407,0.023110741
0.052851597,0.018093098,0.043351746
0.052851597,0.005528617,0.058249496
0.053203774,0.041885956,0.014490093
0.053203774,0.025427745,0.034954263
0.053203774,0.010956671,0.052334853
