aw,arabinose,sucrose
0.052139985,0.010119038,0.035407177
0.052139985,0.018562931,0.028483876
0.052139985,0.028456420,0.020311571
0.053489522,0.014629132,0.032692436
0.053489522,0.026030428,0.023345184
0.053489522,0.043186243,0.008864715
