aw,glycerol,sucrose
0.064743474,0.023110741,0.034636407
0.064743474,0.043351746,0.018093098
0.064743474,0.058249496,0.005528617
0.065277352,0.014490093,0.041885956
0.065277352,0.034954263,0.025427745
0.065277352,0.052334853,0.010956671
