aw,sucrose,glucose
0.055451192,0.047630211,0.009414267
0.055451192,0.039864315,0.018649932
0.055451192,0.020559184,0.041383681
0.055978069,0.029415048,0.031691665
0.055978069,0.014061013,0.043956361
0.055978069,0.006144569,0.058863558
