aw,glucose,sucrose
0.065263186,0.009414267,0.047630211
0.065263186,0.018649932,0.039864315
0.065263186,0.041383681,0.020559184
0.066011815,0.031691665,0.029415048
0.066011815,0.043956361,0.014061013
0.066011815,0.058863558,0.006144569
