aw,tris_hydroxymethyl_aminomethane,sucrose
0.052950169,0.010975524,0.034832892
0.052950169,0.042278147,0.009916864
0.053045488,0.020287282,0.028333982
0.053045488,0.037437485,0.014412697
0.053045488,0.047813802,0.005055572
0.058309809,0.005558431,0.043012282
0.058309809,0.018085353,0.034017404
0.058309809,0.031187501,0.023979125
