aw,sucrose,arabinose
0.043588979,0.035407177,0.010119038
0.043588979,0.028483876,0.018562931
0.043588979,0.020311571,0.028456420
0.044489505,0.032692436,0.014629132
0.044489505,0.023345184,0.026030428
0.044489505,0.008864715,0.043186243
