aw,sorbitol,sucrose
0.052219285,0.005573843,0.039770167
0.052219285,0.018181569,0.029058242
0.052219285,0.034266451,0.015380954
0.052348727,0.010690722,0.035529210
0.052348727,0.026922391,0.021736373
0.052348727,0.043164152,0.007870718
